id,author,title,genre,price,publish_date,description
bk101,"Gambardella, Matthew","XML Developer's Guide",Computer,44.95,2000-10-01,"An in-depth look at creating applications with XML."
bk102,"Ralls, Kim","Midnight Rain",Fantasy,5.95,2000-12-16,"A former architect battles corporate zombies, an evil sorceress, and her own childhood to become queen of the world."
bk103,"Corets, Eva","Maeve Ascendant",Fantasy,5.95,2000-11-17,"After the collapse of a nanotechnology society in England, the young survivors lay the foundation for a new society."
bk104,"Corets, Eva","Oberon's Legacy",Fantasy,5.95,2001-03-10,"In post-apocalypse England, the mysterious agent known only as Oberon helps to create a new life for the inhabitants of London. Sequel to Maeve Ascendant."
bk105,"Corets, Eva","The Sundered Grail",Fantasy,5.95,2001-09-10,"The two daughters of Maeve, half-sisters, battle one another for control of England. Sequel to Oberon's Legacy."
bk106,"Randall, Cynthia","Lover Birds",Romance,4.95,2000-09-02,"When Carla meets Paul at an ornithology conference, tempers fly as feathers get ruffled."
bk107,"Thurman, Paula","Splish Splash",Romance,4.95,2000-11-02,"A deep sea diver finds true love twenty thousand leagues beneath the sea."
bk108,"Knorr, Stefan","Creepy Crawlies",Horror,4.95,2000-12-06,"An anthology of horror stories about roaches, centipedes, scorpions and other insects."
bk109,"Kress, Peter","Paradox Lost",Science Fiction,6.95,2000-11-02,"After an inadvertant trip through a Heisenberg Uncertainty Device, James Salway discovers the problems of being quantum."
bk110,"O'Brien, Tim","Microsoft .NET: The Programming Bible",Computer,36.95,2000-12-09,"Microsoft's .NET initiative is explored in detail in this deep programmer's reference."
bk111,"O'Brien, Tim","MSXML3: A Comprehensive Guide",Computer,36.95,2000-12-01,"The Microsoft MSXML3 parser is covered in detail, with attention to XML DOM interfaces, XSLT processing, SAX and more."
bk112,"Galos, Mike","Visual Studio 7: A Comprehensive Guide",Computer,49.95,2001-04-16,"Microsoft Visual Studio 7 is explored in depth, looking at how Visual Basic, Visual C++, C#, and ASP+ are integrated into a comprehensive development environment."
bk113,"Smith, John","The Quantum Enigma",Science Fiction,7.95,2001-05-12,"A physicist discovers a parallel universe while experimenting with quantum entanglement."
bk114,"Doe, Jane","Love in the Time of Databases",Romance,5.50,2002-02-14,"A data analyst finds love while working on a big data project."
bk115,"Lee, Alice","The Last Algorithm",Computer,39.95,2002-07-21,"A story about the creation of the world's most powerful algorithm."
bk116,"Brown, Dan","The Lost Symbolic Key",Thriller,8.95,2003-03-03,"A cryptographer races to solve a series of mysterious codes."
bk117,"Nguyen, Linh","Dragon's Code",Fantasy,6.95,2003-08-19,"A young mage must decipher an ancient code to save her kingdom."
bk118,"Patel, Ravi","The Mumbai Heist",Thriller,7.95,2004-01-11,"A detective investigates a high-profile bank robbery in Mumbai."
bk119,"Garcia, Maria","Echoes of the Past",Historical,6.50,2004-05-23,"A journey through time reveals secrets of an ancient civilization."
bk120,"Kim, Soo-jin","The Silent Forest",Horror,5.95,2004-10-31,"A group of friends encounters supernatural forces in a haunted forest."
bk121,"Ivanov, Alexei","Cosmonaut Dreams",Science Fiction,8.50,2005-04-12,"A Russian cosmonaut dreams of life beyond the stars."
bk122,"Müller, Anna","Berlin Shadows",Historical,7.25,2005-09-18,"A tale of survival and hope in post-war Berlin."
bk123,"Johnson, Emily","The Art of SQL",Computer,42.00,2006-01-05,"A comprehensive guide to mastering SQL for data professionals."
bk124,"Williams, Mark","The Forgotten Island",Adventure,6.75,2006-06-22,"An explorer discovers a mysterious island lost to history."
bk125,"Chen, Wei","The Jade Emperor's Secret",Fantasy,7.95,2006-11-11,"A quest to recover a lost artifact leads to a battle between gods and mortals."
